url,license,title
http://geomap.reteunitaria.piemonte.it/ws/vtdifsuolo/rp-01/disspaiwms/wms_vtdifsuolo_dissesti_pai?Request=GetCapabilities&service=WMS,,Dissesti PAI
http://servizigis.regione.emilia-romagna.it/wms/geologia10k?Request=GetCapabilities&service=WMS,none,geologia10k
http://sgi2.isprambiente.it/arcgis/services/Consumo_di_suolo/Consumo_di_suolo_2012_10m/MapServer/WmsServer?Request=GetCapabilities&service=WMS,Licenza Attribuzione 3.0 Italia (CC BY SA 3.0 IT),Consumo di suolo 2012 10m
http://sgi2.isprambiente.it/arcgis/services/Consumo_di_suolo/Consumo_di_suolo_2015_10m/MapServer/WmsServer?Request=GetCapabilities&service=WMS,Licenza Attribuzione 3.0 Italia (CC BY SA 3.0 IT),Consumo di suolo 2015
http://sgi2.isprambiente.it/arcgis/services/Consumo_di_suolo/Consumo_di_suolo_2016_10m/MapServer/WmsServer?Request=GetCapabilities&service=WMS,Licenza Attribuzione 3.0 Italia (CC BY SA 3.0 IT),Consumo di suolo 2016
http://sgi2.isprambiente.it/arcgis/services/Consumo_di_suolo/Consumo_di_suolo_2017_10m/MapServer/WmsServer?Request=GetCapabilities&service=WMS,Licenza Attribuzione 3.0 Italia (CC BY SA 3.0 IT),Consumo di suolo 2017 10m
http://sgi2.isprambiente.it/arcgis/services/raster/geo_1000k_italia/ImageServer/WMSServer?Request=GetCapabilities&service=WMS,"I dati pubblicati dal Servizio Geologico d'Italia sono liberi nella consultazione e visualizzazione. L'uso delle informazioni  nel rispetto della proprieta' intelletuale e della corretta scala di applicazione del dato. ISPRA non garantisce sulla qualita',la completezza e l'accuratezza  dei dati non prodotti direttamente dalla stessa. L'uso dei dati per altri fini che non siano la semplice visualizzazione e' soggetto alla legge e deve esserne richiesto l'uso al Servizio Geologico d'Italia.",SGI_ISPRA_Carta-Geologica_1:1M
http://sgi2.isprambiente.it/arcgis/services/raster/geo_100k_italia/ImageServer/WMSServer?Request=GetCapabilities&service=WMS,"I dati pubblicati dal Servizio Geologico d'Italia sono liberi nella consultazione e visualizzazione. L'uso delle informazioni  nel rispetto della proprieta' intelletuale e della corretta scala di applicazione del dato. ISPRA non garantisce sulla qualita',la completezza e l'accuratezza  dei dati non prodotti direttamente dalla stessa. L'uso dei dati per altri fini che non siano la semplice visualizzazione e' soggetto alla legge e deve esserne richiesto l'uso al Servizio Geologico d'Italia",SGI_ISPRA_Carta_Geologica 100000
http://sgi2.isprambiente.it/arcgis/services/raster/geo_500k_italia/ImageServer/WMSServer?Request=GetCapabilities&service=WMS,"I dati pubblicati dal Servizio Geologico d'Italia sono liberi nella consultazione e visualizzazione. L'uso delle informazioni  nel rispetto della proprieta' intelletuale e della corretta scala di applicazione del dato. ISPRA non garantisce sulla qualita',la completezza e l'accuratezza  dei dati non prodotti direttamente dalla stessa. L'uso dei dati per altri fini che non siano la semplice visualizzazione e' soggetto alla legge e deve esserne richiesto l'uso al Servizio Geologico d'Italia",SGI_ISPRA_Carta-Geolitologica_500000
http://sgi2.isprambiente.it/arcgis/services/raster/geo_50k_italia/ImageServer/WMSServer?Request=GetCapabilities&service=WMS,,WMS
